epoch,distance_out_loss,loss,omega_out_loss,phi_out_loss,theta_out_loss,val_distance_out_loss,val_loss,val_omega_out_loss,val_phi_out_loss,val_theta_out_loss
0,1.6318775415420532,1.7371549606323242,1.8919683694839478,1.7053946256637573,1.7441514730453491,1.0259413719177246,1.1987091302871704,1.3700679540634155,1.1941332817077637,1.2039891481399536
1,0.8705657720565796,1.0796231031417847,1.3969863653182983,1.0994913578033447,1.0056036710739136,0.5477224588394165,0.779193639755249,1.3322341442108154,0.8060660362243652,0.5915364623069763
2,0.6318293809890747,0.8534382581710815,1.3628060817718506,0.8678008317947388,0.695195198059082,0.42852896451950073,0.6501927971839905,1.3036377429962158,0.6403717994689941,0.44412335753440857
3,0.5553695559501648,0.7741385102272034,1.325774073600769,0.7741883397102356,0.6076546311378479,0.38913825154304504,0.5973840355873108,1.2084823846817017,0.5847409963607788,0.40860071778297424
4,0.5157744884490967,0.7125540971755981,1.177507758140564,0.7252793312072754,0.565741777420044,0.3654029369354248,0.5268274545669556,0.924668550491333,0.5520328283309937,0.38341382145881653
5,0.48934271931648254,0.6594930291175842,1.009742259979248,0.6909604072570801,0.5379764437675476,0.3382630944252014,0.4859086871147156,0.795670747756958,0.5240057110786438,0.36675333976745605
6,0.4678560197353363,0.6252385973930359,0.9183213710784912,0.6661646962165833,0.5164615511894226,0.31418266892433167,0.4556623101234436,0.7193924784660339,0.5009966492652893,0.3492027223110199
7,0.4480302929878235,0.6010386347770691,0.8612367510795593,0.6476807594299316,0.5008012056350708,0.29978618025779724,0.4300430715084076,0.6635499596595764,0.47797736525535583,0.330483615398407
8,0.43317168951034546,0.5845683813095093,0.8276623487472534,0.6339404582977295,0.48934563994407654,0.2854990065097809,0.4188345968723297,0.6360371112823486,0.4717554450035095,0.3239802420139313
9,0.4208540618419647,0.5694171190261841,0.8004088997840881,0.6207623481750488,0.4768569767475128,0.2923195958137512,0.42384088039398193,0.6366288661956787,0.4747432768344879,0.3323049247264862
10,0.4075756371021271,0.5579473376274109,0.7821064591407776,0.6096968650817871,0.4693038761615753,0.27353039383888245,0.4040595591068268,0.6038612127304077,0.4589795172214508,0.31450337171554565
11,0.40211009979248047,0.5519728660583496,0.771141767501831,0.6047105193138123,0.4645812213420868,0.2636259198188782,0.3918764889240265,0.5879123210906982,0.44596099853515625,0.30389946699142456
12,0.3905337154865265,0.5411437749862671,0.7563329935073853,0.5936999917030334,0.4562974274158478,0.25938519835472107,0.38489651679992676,0.5780839920043945,0.4363919198513031,0.299562931060791
13,0.3856832683086395,0.5362570285797119,0.7489607334136963,0.588771402835846,0.45267635583877563,0.25832080841064453,0.3807298541069031,0.5697978734970093,0.43258994817733765,0.29554036259651184
14,0.3805161416530609,0.5306736826896667,0.7406055331230164,0.583846390247345,0.44761350750923157,0.2488715499639511,0.3806935250759125,0.5731630325317383,0.43390733003616333,0.2971559464931488
15,0.3765021562576294,0.527817964553833,0.7355235815048218,0.5810407996177673,0.4464009702205658,0.24548913538455963,0.3735978305339813,0.5606099963188171,0.4270755648612976,0.2906683385372162
16,0.3699629008769989,0.5206402540206909,0.7269442677497864,0.5736507773399353,0.4398159384727478,0.2417389452457428,0.3734012842178345,0.5587324500083923,0.4270457923412323,0.29292234778404236
17,0.36988309025764465,0.5200048089027405,0.7245786786079407,0.5728990435600281,0.4398839473724365,0.23704345524311066,0.36521103978157043,0.5489723086357117,0.4184352457523346,0.28418993949890137
18,0.3641267716884613,0.5143243074417114,0.7186271548271179,0.5676265358924866,0.4339692294597626,0.23790296912193298,0.36445313692092896,0.5471185445785522,0.4169968068599701,0.2838517725467682
19,0.36435630917549133,0.513219952583313,0.7153725624084473,0.5653411746025085,0.4344545900821686,0.24345076084136963,0.365569531917572,0.5457326173782349,0.41813963651657104,0.283977210521698
20,0.3587944805622101,0.508636474609375,0.7091647982597351,0.5619564056396484,0.42997419834136963,0.23567529022693634,0.3653803765773773,0.5471248030662537,0.41684776544570923,0.2878933250904083
21,0.3556711673736572,0.5051299333572388,0.7055472731590271,0.5585077404975891,0.4262723922729492,0.23258842527866364,0.3568395674228668,0.5344839692115784,0.40814009308815,0.2788425087928772
22,0.35386738181114197,0.5027967691421509,0.7031522989273071,0.5556012392044067,0.4242793619632721,0.23064164817333221,0.3550918698310852,0.5336733460426331,0.40651121735572815,0.2766069173812866
23,0.35244396328926086,0.5008453726768494,0.6997475624084473,0.5550454258918762,0.42139479517936707,0.23204128444194794,0.3594338893890381,0.5362296104431152,0.41242262721061707,0.28174349665641785
24,0.35054177045822144,0.4998476207256317,0.6977509260177612,0.5530382394790649,0.42235827445983887,0.22659137845039368,0.35168302059173584,0.5283529162406921,0.4030817747116089,0.27449509501457214
25,0.34938982129096985,0.49595144391059875,0.6939404010772705,0.549333930015564,0.41685569286346436,0.22502082586288452,0.35077938437461853,0.5268636345863342,0.40159809589385986,0.27479782700538635
26,0.3477206230163574,0.4951120913028717,0.6931184530258179,0.5480832457542419,0.41683250665664673,0.229617640376091,0.34989243745803833,0.5253552794456482,0.40015697479248047,0.2720339596271515
27,0.34702256321907043,0.4944618344306946,0.6918531060218811,0.54733806848526,0.41661036014556885,0.23061533272266388,0.35114428400993347,0.5260614156723022,0.4017808437347412,0.2733134925365448
28,0.3444998562335968,0.49008840322494507,0.6863096952438354,0.5428429841995239,0.4120182394981384,0.22283515334129333,0.34905579686164856,0.52564537525177,0.40089380741119385,0.2720334529876709
